,Unnamed: 0,unique_number,name_en,date_inscribed,longitude,latitude,category,category_short,states_name_en,region_en,gdp,count,countbycategory,countbystate,countbyregion,countbyregiondate,countbystatedate,countbycatdate
308,27,131,Timbuktu,1988,-2.999444444,16.77333333,Cultural,C,Mali,Africa,627.0,25033000.0,869,4,96,35,2,229
309,27,562,Pre-Hispanic City of Chichen-Itza,1988,-88.6,20.66667,Cultural,C,Mexico,Latin America and the Caribbean,9168.0,930000.0,869,35,142,40,8,229
310,27,578,"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church",1988,1.083333333,51.28,Cultural,C,United Kingdom of Great Britain and Northern Ireland,Europe and North America,65307.0,24671000.0,869,31,528,144,13,229
311,27,567,Tower of London,1988,-0.076111111,51.50805556,Cultural,C,United Kingdom of Great Britain and Northern Ireland,Europe and North America,65307.0,24671000.0,869,31,528,144,13,229
312,32,593,Mosi-oa-Tunya / Victoria Falls,1989,25.85539,-17.924529999999994,Natural,N,"Zambia,Zimbabwe",Africa,3759.0,1023000.0,213,1,96,37,1,70
313,30,613,Buddhist Monuments at Sanchi,1989,77.73971999999998,23.47944,Cultural,C,India,Asia and the Pacific,1228.0,502000.0,869,37,266,52,19,233
314,30,589,Monastery of Alcobaça,1989,-8.97667,39.55,Cultural,C,Portugal,Europe and North America,13193.0,15670000.0,869,16,528,147,6,233
315,30,603,Archaeological Site of Olympia,1989,21.66666667,37.65,Cultural,C,Greece,Europe and North America,16024.0,34970000.0,869,18,528,147,10,233
316,32,590,Banc d'Arguin National Park,1989,-16.10889,20.234720000000006,Natural,N,Mauritania,Arab States,1832.0,4600.0,213,2,86,43,1,70
317,30,595,Archaeological Site of Mystras,1989,22.366670000000006,37.08056,Cultural,C,Greece,Europe and North America,16024.0,34970000.0,869,18,528,147,10,233
318,31,602,Cliff of Bandiagara (Land of the Dogons),1989,-3.41667,14.333329999999998,Mixed,C/N,Mali,Africa,683.0,25033000.0,39,4,96,37,3,16
319,33,615,Colonial City of Santo Domingo,1990,-69.91666667,18.48333333,Cultural,C,Dominican Republic,Latin America and the Caribbean,5007.0,65000.0,869,1,142,43,1,244
320,34,644,Río Abiseo National Park,1990,-77.25,-7.75,Mixed,C/N,Peru,Latin America and the Caribbean,3361.0,114000.0,39,11,142,43,8,19
321,33,632,"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios",1990,22.75,38.4,Cultural,C,Greece,Europe and North America,16012.0,34970000.0,869,18,528,155,12,244
322,33,620,Delos,1990,25.26667,37.4,Cultural,C,Greece,Europe and North America,16012.0,34970000.0,869,18,528,155,12,244
323,33,647,Historic Centre of San Gimignano,1990,11.04167,43.46806,Cultural,C,Italy,Europe and North America,25001.0,2799000.0,869,49,528,155,6,244
324,34,1933,Mount Huangshan,1990,118.18333,30.16667,Mixed,C/N,China,Asia and the Pacific,2460.0,2253000.0,39,54,266,56,7,19
325,33,638,Itchan Kala,1990,60.36389000000001,41.37833,Cultural,C,Uzbekistan,Asia and the Pacific,4444.0,2773000.0,869,4,266,56,1,244
326,35,576,Tsingy de Bemaraha Strict Nature Reserve,1990,44.75,-18.66667,Natural,N,Madagascar,Africa,1011.0,1800000.0,213,3,96,38,1,72
327,33,624,Palaces and Parks of Potsdam and Berlin,1990,13.03333333,52.4,Cultural,C,Germany,Europe and North America,25054.0,117000.0,869,39,528,155,9,244
328,33,640,"Kremlin and Red Square, Moscow",1990,37.62972,55.74583000000001,Cultural,C,Russian Federation,Europe and North America,7091.0,5224000.0,869,25,528,155,3,244
329,33,617,"Kiev: Saint-Sophia Cathedral and Related Monastic Buildings, Kiev-Pechersk Lavra",1990,30.51686,50.45258,Cultural,C,Ukraine,Europe and North America,10638.0,205000.0,869,4,528,155,1,244
330,33,1958,Historic Centre of Saint Petersburg and Related Groups of Monuments,1990,30.31833,59.95,Cultural,C,Russian Federation,Europe and North America,7091.0,5224000.0,869,25,528,155,3,244
331,33,639,Kizhi Pogost,1990,35.2275,62.07138889,Cultural,C,Russian Federation,Europe and North America,7091.0,5224000.0,869,25,528,155,3,244
332,33,619,Jesuit Missions of the Chiquitos,1990,-60.5,-16.0,Cultural,C,Bolivia (Plurinational State of),Latin America and the Caribbean,1776.0,133000.0,869,6,142,43,2,244
333,34,487,Tongariro National Park,1990,175.56222219999995,-39.29083333,Mixed,C/N,New Zealand,Asia and the Pacific,19955.0,13925000.0,39,3,266,56,2,19
334,35,648,Te Wahipounamu – South West New Zealand,1990,167.3196111,-45.03602778,Natural,N,New Zealand,Asia and the Pacific,19955.0,13925000.0,213,3,266,56,2,72
335,37,699,Thungyai-Huai Kha Khaeng Wildlife Sanctuaries,1991,98.91667,15.333329999999998,Natural,N,Thailand,Asia and the Pacific,5713.0,208000.0,213,5,266,65,3,78
336,36,1718,Old Rauma,1991,21.51167,61.12806,Cultural,C,Finland,Europe and North America,22060.0,659000.0,869,5,528,163,2,260
337,36,719,Serra da Capivara National Park,1991,-42.33333333,-8.416666667000001,Cultural,C,Brazil,Latin America and the Caribbean,5901.0,1966000.0,869,21,142,46,7,260
338,36,681,Historic City of Ayutthaya,1991,100.56056,14.347779999999998,Cultural,C,Thailand,Asia and the Pacific,5713.0,208000.0,869,5,266,65,3,260
339,36,679,Historic Town of Sukhothai and Associated Historic Towns,1991,99.78972,17.00722,Cultural,C,Thailand,Asia and the Pacific,5713.0,208000.0,869,5,266,65,3,260
340,36,663,Golden Temple of Dambulla,1991,80.64916667,7.856666667000001,Cultural,C,Sri Lanka,Asia and the Pacific,3293.0,75315000.0,869,8,266,65,7,260
341,37,723,Komodo National Park,1991,119.48944,-8.543330000000001,Natural,N,Indonesia,Asia and the Pacific,3363.0,14569000.0,213,9,266,65,4,78
342,36,690,Fortress of Suomenlinna,1991,24.98722,60.14722,Cultural,C,Finland,Europe and North America,22060.0,659000.0,869,5,528,163,2,260
343,36,660,Royal Domain of Drottningholm,1991,17.883329999999994,59.32306,Cultural,C,Sweden,Europe and North America,26114.0,60000.0,869,13,528,163,1,260
344,36,762,Prambanan Temple Compounds,1991,110.49167,-7.752219999999999,Cultural,C,Indonesia,Asia and the Pacific,3363.0,14569000.0,869,9,266,65,4,260
345,36,709,Island of Mozambique,1991,40.73583,-15.03417,Cultural,C,Mozambique,Africa,538.0,9375000.0,869,1,96,40,1,260
346,37,722,Ujung Kulon National Park,1991,105.3333333,-6.75,Natural,N,Indonesia,Asia and the Pacific,3363.0,14569000.0,213,9,266,65,4,78
347,37,684,"Shark Bay, Western Australia",1991,113.4361111,-25.48611111,Natural,N,Australia,Asia and the Pacific,26671.0,45000.0,213,20,266,65,9,78
348,36,1865,Abbey and Altenmünster of Lorsch,1991,8.56858,49.65369000000001,Cultural,C,Germany,Europe and North America,26568.0,117000.0,869,39,528,163,10,260
349,37,695,Danube Delta,1991,29.5,45.08333,Natural,N,Romania,Europe and North America,6185.0,2611900.0,213,7,528,163,1,78
350,36,692,Historic Centre of Morelia,1991,-101.19167,19.70444,Cultural,C,Mexico,Latin America and the Caribbean,9946.0,930000.0,869,35,142,46,9,260
351,36,711,"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims",1991,4.032777778,49.25333333,Cultural,C,France,Europe and North America,24533.0,1831000.0,869,41,528,163,18,260
352,36,710,"Paris, Banks of the Seine",1991,2.294166667,48.85833333,Cultural,C,France,Europe and North America,24533.0,1831000.0,869,41,528,163,18,260
353,36,668,Historic City of Sucre,1991,-65.25917,-19.04306,Cultural,C,Bolivia (Plurinational State of),Latin America and the Caribbean,1776.0,133000.0,869,6,142,46,3,260
354,36,605,Poblet Monastery,1991,1.0825,41.38083,Cultural,C,Spain,Europe and North America,17846.0,9091000.0,869,44,528,163,17,260
355,36,700,Borobudur Temple Compounds,1991,110.20361,-7.60778,Cultural,C,Indonesia,Asia and the Pacific,3363.0,14569000.0,869,9,266,65,4,260
356,37,678,Air and Ténéré Natural Reserves,1991,9.0,18.0,Natural,N,Niger,Africa,886.0,1060000.0,213,2,96,40,1,78
357,38,1576,"Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Water Management  System",1992,10.34,51.82,Cultural,C,Germany,Europe and North America,27098.0,117000.0,869,39,528,175,11,276
358,38,732,Historic Centre of Český Krumlov,1992,14.31666667,48.81666667,Cultural,C,Czechia,Europe and North America,21004.0,2223000.0,869,13,528,175,3,276
359,38,680,Ban Chiang Archaeological Site,1992,103.35833,17.54861,Cultural,C,Thailand,Asia and the Pacific,6206.0,208000.0,869,5,266,71,4,276
360,38,1928,Historic Centre of Prague,1992,14.41944,50.08972,Cultural,C,Czechia,Europe and North America,21004.0,2223000.0,869,13,528,175,3,276
361,38,573,Taos Pueblo,1992,-105.54167,36.43889,Cultural,C,United States of America,Europe and North America,65307.0,24671000.0,869,22,528,175,17,276
362,38,738,Historic Centre of Telč,1992,15.45,49.18333,Cultural,C,Czechia,Europe and North America,21004.0,2223000.0,869,13,528,175,3,276
363,38,666,Old City of Zamość,1992,23.26667,50.71667,Cultural,C,Poland,Europe and North America,8034.0,4833000.0,869,13,528,175,5,276
364,39,757,Jiuzhaigou Valley Scenic and Historic Interest Area,1992,103.91667,33.08333,Natural,N,China,Asia and the Pacific,2731.0,2253000.0,213,54,266,71,10,82
365,38,703,Pythagoreion and Heraion of Samos,1992,26.94333,37.69083,Cultural,C,Greece,Europe and North America,17076.0,34970000.0,869,18,528,175,13,276
366,38,716,Historic Monuments of Novgorod and Surroundings,1992,31.28333,58.53333000000001,Cultural,C,Russian Federation,Europe and North America,7091.0,5224000.0,869,25,528,175,6,276
367,38,749,"El Tajin, Pre-Hispanic City",1992,-97.3775,20.47639,Cultural,C,Mexico,Latin America and the Caribbean,10169.0,930000.0,869,35,142,47,10,276
368,38,750,Cultural and Historic Ensemble of the Solovetsky Islands,1992,35.66666667,65.08333333,Cultural,C,Russian Federation,Europe and North America,7091.0,5224000.0,869,25,528,175,6,276
369,38,791,Angkor,1992,103.8333333,13.43333333,Cultural,C,Cambodia,Asia and the Pacific,1262.0,269000.0,869,3,266,71,1,276
370,39,760,Wulingyuan Scenic and Historic Interest Area,1992,110.5,29.33333,Natural,N,China,Asia and the Pacific,2731.0,2253000.0,213,54,266,71,10,82
371,39,748,Fraser Island,1992,153.1333333,-25.21666667,Natural,N,Australia,Asia and the Pacific,28053.0,45000.0,213,20,266,71,10,82
372,38,752,White Monuments of Vladimir and Suzdal,1992,40.41666667,56.15,Cultural,C,Russian Federation,Europe and North America,7091.0,5224000.0,869,25,528,175,6,276
373,38,1563,Butrint,1992,20.02611111,39.75111111,Cultural,C,Albania,Europe and North America,3520.0,0.0,869,2,528,175,1,276
374,38,667,Kasbah of Algiers,1992,3.06028,36.78333,Cultural,C,Algeria,Arab States,7893.0,748000.0,869,7,86,44,7,276
375,38,1952,Bourges Cathedral,1992,2.398333333,47.08222222,Cultural,C,France,Europe and North America,24774.0,1831000.0,869,41,528,175,19,276
376,39,758,Huanglong Scenic and Historic Interest Area,1992,103.82222,32.75417,Natural,N,China,Asia and the Pacific,2731.0,2253000.0,213,54,266,71,10,82
377,40,725,Historic Town of Zabid,1993,43.31552778,14.19533333,Cultural,C,Yemen,Arab States,2698.0,90500.0,869,4,86,45,3,305
378,41,784,Shirakami-Sanchi,1993,140.13,40.47,Natural,N,Japan,Asia and the Pacific,29967.0,2123000.0,213,22,266,81,4,86
379,40,781,Buddhist Monuments in the Horyu-ji Area,1993,135.7333333,34.61666667,Cultural,C,Japan,Asia and the Pacific,29967.0,2123000.0,869,22,266,81,4,305
380,40,259,"Qutb Minar and its Monuments, Delhi",1993,77.18528,28.52583,Cultural,C,India,Asia and the Pacific,1428.0,502000.0,869,37,266,81,21,305
381,40,2182,"Humayun's Tomb, Delhi",1993,77.25056,28.59333,Cultural,C,India,Asia and the Pacific,1428.0,502000.0,869,37,266,81,21,305
382,40,740,Vlkolínec,1993,19.27833333,49.03916667,Cultural,C,Slovakia,Europe and North America,11775.0,12051000.0,869,5,528,191,3,305
383,40,734,Historic Town of Banská Štiavnica and the Technical Monuments in its Vicinity,1993,18.9,48.46111,Cultural,C,Slovakia,Europe and North America,11775.0,12051000.0,869,5,528,191,3,305
384,40,2055,Routes of Santiago de Compostela: <i>Camino Francés</i> and Routes of Northern Spain ,1993,-6.414722222000001,43.335,Cultural,C,Spain,Europe and North America,18250.0,9091000.0,869,44,528,191,20,305
385,40,786,Royal Monastery of Santa María de Guadalupe,1993,-5.3275,39.45285,Cultural,C,Spain,Europe and North America,18250.0,9091000.0,869,44,528,191,20,305
386,40,785,Archaeological Ensemble of Mérida,1993,-6.33778,38.91611,Cultural,C,Spain,Europe and North America,18250.0,9091000.0,869,44,528,191,20,305
387,40,802,Complex of Hué Monuments,1993,107.57778,16.46944,Cultural,C,Viet Nam,Asia and the Pacific,3557.0,90500.0,869,8,266,81,1,305
388,40,1537,"Levoča, Spišský Hrad and the Associated Cultural Monuments",1993,20.7675,48.99944444,Cultural,C,Slovakia,Europe and North America,11775.0,12051000.0,869,5,528,191,3,305
389,40,793,The Sassi and the Park of the Rupestrian Churches of Matera,1993,16.61027778,40.66638889,Cultural,C,Italy,Europe and North America,26298.0,2799000.0,869,49,528,191,7,305
390,40,768,Jesuit Missions of La Santísima Trinidad de Paraná and Jesús de Tavarangue,1993,-55.7,-27.13333,Cultural,C,Paraguay,Latin America and the Caribbean,4056.0,114000.0,869,1,142,53,1,305
391,40,779,Coro and its Port,1993,-69.68333333,11.4,Cultural,C,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,3557.0,90500.0,869,3,142,53,1,305
392,40,799,Joya de Cerén Archaeological Site,1993,-89.36916667,13.8275,Cultural,C,El Salvador,Latin America and the Caribbean,3677.0,8244000.0,869,1,142,53,1,305
393,40,1728,Churches of Moldavia,1993,25.71277778,47.77833333,Cultural,C,Romania,Europe and North America,6044.0,2611900.0,869,7,528,191,4,305
394,40,706,Monastery of Horezu,1993,24.01666667,45.18333333,Cultural,C,Romania,Europe and North America,6044.0,2611900.0,869,7,528,191,4,305
395,40,845,Rock Paintings of the Sierra de San Francisco,1993,-112.91611,27.65556,Cultural,C,Mexico,Latin America and the Caribbean,10050.0,930000.0,869,35,142,53,13,305
396,40,800,Historic Centre of Zacatecas,1993,-102.55556,22.76667,Cultural,C,Mexico,Latin America and the Caribbean,10050.0,930000.0,869,35,142,53,13,305
397,40,780,Brú na Bóinne - Archaeological Ensemble of the Bend of the Boyne,1993,-6.45,53.69167,Cultural,C,Ireland,Europe and North America,20004.0,8044000.0,869,2,528,191,1,305
398,41,652,Whale Sanctuary of El Vizcaino,1993,-114.22778,27.79222,Natural,N,Mexico,Latin America and the Caribbean,10050.0,930000.0,213,35,142,53,13,86
399,40,782,Himeji-jo,1993,134.7,34.83333333,Cultural,C,Japan,Asia and the Pacific,29967.0,2123000.0,869,22,266,81,4,305
400,40,705,Villages with Fortified Churches in Transylvania,1993,24.77305556,46.13583333,Cultural,C,Romania,Europe and North America,6044.0,2611900.0,869,7,528,191,4,305
401,40,778,Architectural Ensemble of the Trinity Sergius Lavra in Sergiev Posad,1993,38.1312,56.31035,Cultural,C,Russian Federation,Europe and North America,7091.0,5224000.0,869,25,528,191,7,305
402,40,2184,Historic Centre of Bukhara,1993,64.42860999999999,39.77472,Cultural,C,Uzbekistan,Asia and the Pacific,3839.0,2773000.0,869,4,266,81,2,305
403,40,655,Engelsberg Ironworks,1993,16.008329999999994,59.96666999999999,Cultural,C,Sweden,Europe and North America,25070.0,60000.0,869,13,528,191,3,305
404,40,653,Birka and Hovgården,1993,17.54264,59.33514,Cultural,C,Sweden,Europe and North America,25070.0,60000.0,869,13,528,191,3,305
405,41,1554,Tubbataha Reefs Natural Park,1993,119.8675,8.953333333,Natural,N,Philippines,Asia and the Pacific,3925.0,2140000.0,213,6,266,81,2,86
